time_s,Va_rms_V,Vb_rms_V,Vc_rms_V,P719_W,Q719_var,I719_rms_A
4.327249999999999,217.724660353216,216.5466623180124,217.86688650141505,-3489.866855355387,-1647.0848189886358,17.761554055961987
4.3275,217.72397429683969,216.5467293997425,217.8667613775715,-3489.5945682643337,-1647.0024761993204,17.75887341836053
4.32775,217.72347417506077,216.54678620443568,217.86662827456988,-3489.3856438681382,-1646.9697983207323,17.756353178771054
4.327999999999999,217.72316969732927,216.54682990465622,217.86648939952812,-3489.24699228892,-1646.9764566604063,17.754040336756134
4.32825,217.72306572760164,216.5468579957366,217.8663471015074,-3489.1837988798616,-1647.0111835034736,17.75197679123833
4.3285,217.72316216988366,216.54686835744454,217.86620381367538,-3489.199398258428,-1647.0620508987006,17.75019831104907
4.328749999999999,217.72345397626833,216.54685930617703,217.86606199340684,-3489.2951939713,-1647.1167653484142,17.74873365738129
4.329,217.72393127713318,216.54682963639618,217.86592406179832,-3489.4706257271146,-1647.162971122732,17.747603880243442
4.32925,217.72457963014503,216.54677865028916,217.86579234408623,-3489.7231849598093,-1647.1885547138877,17.746821806639748
4.3294999999999995,217.72538038179135,216.5467061749237,217.86566901243128,-3490.0484782943663,-1647.1819429263414,17.746391733341834
4.32975,217.72631113238452,216.54661256647714,217.8655560324834,-3490.4403373072564,-1647.13238726343,17.74630933189922
4.329999999999999,217.72734629294294,216.54649870143817,217.86545511503746,-3490.8909718351097,-1647.0302276171071,17.746561768107384
4.3302499999999995,217.72845772009885,216.54636595499932,217.8653676739704,-3491.391163014849,-1646.8671287851114,17.747128032664126
4.3305,217.7296154132746,216.5462161671731,217.86529479149613,-3491.9304912636203,-1646.6362840166707,17.747979474353073
4.330749999999999,217.7307882568555,216.54605159746876,217.8652371915894,-3492.497593550379,-1646.3325806070377,17.74908052194857
4.3309999999999995,217.73194478899325,216.54587486924623,217.86519522223335,-3493.0804435947853,-1645.9527235016624,17.750389576281126
4.33125,217.7330539780508,216.5456889051197,217.8651688469268,-3493.6666480702334,-1645.4953139104823,17.75186004966497
4.331499999999999,217.7340859875323,216.54549685500132,217.86515764565672,-3494.243751500212,-1644.9608810449372,17.753441526279193
4.33175,217.73501291065406,216.5453020185574,217.86516082531213,-3494.7995423302973,-1644.3518662477156,17.75508101419946
4.332,217.73580945648564,216.54510776398897,217.86517723928043,-3495.3223526362262,-1643.6725599593042,17.756724257661187
4.332249999999999,217.73645357081062,216.54491744513342,217.86520541574225,-3495.80134409303,-1642.9289931277697,17.758317076839358
4.3325,217.73692697648625,216.54473431893157,217.86524359396674,-3496.226773176233,-1642.1287857891627,17.75980670196919
4.33275,217.7372156200887,216.54456146529128,217.86528976771135,-3496.5902290851955,-1641.2809565989842,17.761143068997836
4.332999999999999,217.737310013953,216.54440171131733,217.86534173465841,-3496.884838557591,-1640.3956980538478,17.762280045122168
4.33325,217.7372054653082,216.54425756177764,217.8653971506671,-3497.1054325662144,-1639.4841229833316,17.763176554484208
4.3335,217.73690218699898,216.5441311375124,217.86545358750584,-3497.24867083402,-1638.557988594627,17.763797576900913
4.333749999999999,217.73640528720782,216.54402412330273,217.86550859264398,-3497.313121147398,-1637.6294048996197,17.76411499572446
4.334,217.7357246385714,216.54393772648194,217.86555974962764,-3497.29929156504,-1636.7105347327065,17.76410827467636
4.33425,217.73487463005452,216.5438726473059,217.86560473755546,-3497.2096147827556,-1635.8132927674926,17.763764947682034
4.334499999999999,217.73387380782566,216.54382906180928,217.86564138818946,-3497.048385094822,-1634.949050958235,17.763080910254406
4.33475,217.73274441410499,216.54380661756983,217.86566773929394,-3496.8216495602755,-1634.1283576666033,17.762060505734212
4.335,217.73151183545494,216.5438044424813,217.8656820828912,-3496.5370561095406,-1633.3606773895556,17.76071640458817
4.335249999999999,217.73020397420186,216.54382116631697,217.86568300724886,-3496.2036623851864,-1632.6541574898877,17.75906927989132
4.3355,217.7288505585564,216.54385495455168,217.86566943156063,-3495.8317100739996,-1632.0154276592912,17.757147286970735
4.33575,217.7274824084945,216.54390355360616,217.86564063247388,-3495.4323703332716,-1631.449437030969,17.75498535986635
4.335999999999999,217.72613067552996,216.54396434639912,217.8655962618111,-3495.0174666200232,-1630.9593329259665,17.752624341663623
4.33625,217.72482607514178,216.54403441683522,217.865536355047,-3494.599181782225,-1630.5463841869562,17.750109969780556
4.3365,217.72359813077736,216.54411062164237,217.86546133034028,-3494.189756651534,-1630.2099509508907,17.74749174085194
4.336749999999999,217.72247444805137,216.54418966778658,217.86537197814098,-3493.801187578494,-1629.9475015648572,17.74482168285763
4.337,217.7214800369984,216.54426819355598,217.86526944163347,-3493.444930369225,-1629.7546761862372,17.742153064512443
4.33725,217.7206366990368,216.54434285131998,217.86515518849782,-3493.1316179171204,-1629.625395457309,17.739539073605478
4.3374999999999995,217.71996249368533,216.5444103899244,217.86503097468622,-3492.8707984775524,-1629.5520115344032,17.73703149688639
4.33775,217.71947129809897,216.5444677346912,217.8648988011088,-3492.670701017796,-1629.5254977095087,17.7346794342118
4.337999999999999,217.7191724701789,216.54451206305794,217.86476086429613,-3492.5380334001443,-1629.5356719142962,17.732528078962506
4.3382499999999995,217.7190706234513,216.5445408739937,217.8646195022537,-3492.477818341135,-1629.571448565132,17.730617595223716
4.3385,217.71916551913873,216.54455204948135,217.86447713684487,-3492.493271153555,-1629.6211125141836,17.728982119908874
4.338749999999999,217.71945207795025,216.54454390655818,217.86433621411817,-3492.585722243913,-1629.6726083325307,17.727648914950755
4.3389999999999995,217.71992051115913,216.54451523863264,217.86419914405164,-3492.754586231885,-1629.7138377794934,17.72663769095173
4.33925,217.72055656758994,216.54446534506232,217.86406824119751,-3492.997378406935,-1629.7329581174722,17.725960119369272
4.339499999999999,217.72134189028282,216.54439404826766,217.86394566768737,-3493.3097780696203,-1629.7186739178783,17.72561954552943
4.33975,217.72225447389988,216.5443016979634,217.863833380001,-3493.685737149442,-1629.6605151710905,17.72561090963712
4.34,217.72326921146447,216.54418916240346,217.86373308081232,-3494.11763137635,-1629.549094858059,17.72592087763041
4.340249999999999,217.72435851683528,216.5440578068603,217.8636461770921,-3494.596450236227,-1629.3763396540814,17.726528178356734
4.3405,217.72549300746496,216.54390945986867,217.86357374550246,-3495.11202098772,-1629.1356881034844,17.727404138282015
4.34075,217.7266422305251,216.54374636806966,217.86351650593306,-3495.653261182255,-1628.8222514110926,17.728513399927248
4.340999999999999,217.72777541444142,216.54357114076598,217.86347480382628,-3496.2084534313194,-1628.4329329225675,17.729814805599066
4.34125,217.72886222727067,216.54338668555852,217.8634486017295,-3496.765535622059,-1627.9665033870738,17.73126242386505
4.3415,217.72987352321792,216.5431961366491,217.86343748027846,-3497.3123994075054,-1627.4236301882072,17.73280669272748
4.341749999999999,217.7307820589098,216.54300277757662,217.8634406485864,-3497.83718960037,-1626.8068598651466,17.734395650655305
4.342,217.73156316181147,216.54280996028956,217.86345696378163,-3498.328597083735,-1626.1205543967583,17.73597622460539
4.34225,217.7321953343817,216.5426210225503,217.86348495921064,-3498.776138018727,-1625.370782860727,17.737495542937896
4.342499999999999,217.73266077916634,216.54243920570275,217.86352288061113,-3499.170412473863,-1624.5651711768323,17.738902240721572
4.34275,217.73294583200246,216.54226757483087,217.8635687293626,-3499.5033361147607,-1623.712713673625,17.740147725324807
4.343,217.73304129278284,216.54210894327363,217.86362031174718,-3499.7683392630847,-1622.8235511540252,17.741187371367875
4.343249999999999,217.73294264577444,216.5419658033516,217.86367529300915,-3499.960528443935,-1621.9087209568854,17.741981616026358
4.3435,217.73265016420805,216.5418402650147,217.8637312548785,-3500.0768064702615,-1620.979885194822,17.742496928260678
4.34375,217.73216889671778,216.54173400391895,217.86378575514217,-3500.115948139274,-1620.0490438809009,17.742706628730843
4.343999999999999,217.73150853611907,216.5416482202077,217.86383638779776,-3500.078629713048,-1619.1282400219739,17.74259154085329
4.34425,217.7306831739103,216.54158360901454,217.86388084230427,-3499.9674114967834,-1618.229263947696,17.74214045757813
4.3445,217.72971094669117,216.54154034340974,217.8639169604746,-3499.7866739851524,-1617.363364155854,17.741350412914073
4.3447499999999994,217.72861358334484,216.54151807020884,217.86394278960907,-3499.542509191342,-1616.5409717867267,17.740226751905535
4.345,217.72741586426525,216.54151591874614,217.86395663055885,-3499.2425698766538,-1615.7714454966824,17.738782997571793
4.34525,217.72614500605974,216.54153252239294,217.86395707954023,-3498.8958804333624,-1615.0628429917847,17.737040518147708
4.3454999999999995,217.72482998698123,216.54156605228997,217.86394306267073,-3498.5126141150913,-1614.4217248192258,17.735028002720053
4.34575,217.72350082978474,216.5416142624609,217.8639138623763,-3498.1038421334497,-1613.8529952138256,17.73278075792957
4.345999999999999,217.7221878597361,216.54167454519438,217.86386913502213,-3497.6812608277637,-1613.35978387916,17.730339842710535
4.3462499999999995,217.72092095609185,216.54174399532866,217.86380891933425,-3497.256903648642,-1612.9433715701014,17.72775106196744
4.3465,217.7197288155142,216.54181948185408,217.86373363540517,-3496.8428450636957,-1612.6031612613394,17.725063843552938
4.346749999999999,217.7186382455702,216.5418977250693,217.86364407431074,-3496.4509036858967,-1612.3366955612396,17.72233002582838
4.3469999999999995,217.71767350569937,216.5419753773912,217.8635413785948,-3496.0923519364687,-1612.139719889941,17.71960258537466
4.34725,217.71685571185824,216.5420491058249,217.86342701410376,-3495.7776393869694,-1612.0062898131673,17.716934336021765
4.347499999999999,217.71620231944584,216.5421156740659,217.86330273386588,-3495.516136580353,-1611.9289198369563,17.71437663121318
4.34775,217.71572669718017,216.54217202220966,217.8631705349057,-3495.3159056203012,-1611.898769949199,17.711978101790454
4.348,217.7154378023307,216.5422153421087,217.8630326090588,-3495.183503152308,-1611.9058652678614,17.709783460548234
4.348249999999999,217.71533996520196,216.542243146521,217.86289128899665,-3495.1238205570926,-1611.9393433445807,17.70783240337904
4.3485,217.71543278805476,216.54225333034705,217.86274899079368,-3495.139965255231,-1611.9877229969784,17.706158634515095
4.34875,217.71571116082146,216.54224422244948,217.8626081544504,-3495.2331860058775,-1612.0391880190334,17.70478904033999
4.348999999999999,217.7161653930846,216.54221462678166,217.8624711838358,-3495.4028439958397,-1612.0818787598855,17.703743032548164
4.34925,217.7167814589166,216.54216385181243,217.8623403875284,-3495.646430385834,-1612.104184375241,17.703032077171628
4.3495,217.7175413483966,216.54209172752508,217.86221792201437,-3495.9596298355873,-1612.0950285474005,17.7026594212804
4.349749999999999,217.718423516993,216.5419986095734,217.862105738637,-3496.336428397489,-1612.044141639229,17.70262002412494
4.35,217.7194034215962,216.54188537049458,217.86200553560624,-3496.7692630770166,-1611.9423125898675,17.702900694264546
4.35025,217.72045412986083,216.5417533781968,217.86191871624717,-3497.2492093344254,-1611.7816143671923,17.703480428961893
4.350499999999999,217.72154698772547,216.5416044622533,217.861846354514,-3497.766201871066,-1611.555597451018,17.70433094696788
4.35075,217.72265232856336,216.54144086883386,217.86178916861928,-3498.3092832283896,-1611.2594466155238,17.70541740091777
4.351,217.72374020641303,216.54126520538574,217.861747503425,-3498.866874047822,-1610.8900971895257,17.706699251043087
4.351249999999999,217.72478113517232,216.541080376426,217.86172132202645,-3499.427058312305,-1610.4463079766915,17.70813127789524
4.3515,217.72574681551242,216.5408895120291,217.8617102067365,-3499.977876527891,-1609.9286890891651,17.709664708379172
